Protein,+s,-s,Q60
CHEMBL2854,227,344,7.24
CHEMBL2049,262,395,8.17
CHEMBL4429,337,521,7.8
CHEMBL4130,104,156,7.67
CHEMBL5113,721,1081,7.06
CHEMBL4105838,91,142,6.44
CHEMBL1855,532,800,7.64
CHEMBL1293255,109,164,7.21
CHEMBL4792,848,1288,6.97
CHEMBL1795177,180,282,7.84
CHEMBL3473,381,573,7.85
CHEMBL3768,113,180,8.1
CHEMBL2778,110,165,7.28
CHEMBL3100,122,187,7.44
CHEMBL5024,117,176,6.63
CHEMBL3892,169,257,6.92
CHEMBL4308,233,349,8.32
CHEMBL5443,159,238,7.45
CHEMBL1995,97,145,6.5
CHEMBL4411,108,161,6.21
CHEMBL4508,226,340,7.58
CHEMBL5921,90,134,7.88
CHEMBL1921,124,192,7.0
CHEMBL3037,82,124,7.26
CHEMBL2749,131,197,6.08
CHEMBL4441,487,731,7.27
CHEMBL5689,82,122,7.36
CHEMBL4523156,144,266,5.3
CHEMBL3332,136,214,8.64
CHEMBL3713062,557,1024,6.6
CHEMBL2496,220,333,6.84
CHEMBL5570,141,213,8.1
CHEMBL2003,96,147,7.17
CHEMBL3988599,120,186,6.58
CHEMBL3764,196,294,7.31
CHEMBL2321630,193,298,7.55
CHEMBL1075228,106,159,8.04
CHEMBL4336,91,139,8.85
CHEMBL3879842,85,146,7.3
CHEMBL4111,97,150,8.38
CHEMBL4296013,160,324,7.0
CHEMBL3309112,150,228,7.57
CHEMBL5480,101,154,5.5
CHEMBL4076,122,238,6.4
CHEMBL2010631,308,461,7.74
CHEMBL3309111,194,291,9.49
CHEMBL5522,94,144,6.2
CHEMBL2207,200,305,7.49
CHEMBL1919,85,129,6.84
CHEMBL2406899,80,169,6.7
CHEMBL5353,113,173,7.7
CHEMBL1075232,146,221,7.41
CHEMBL4908,515,804,8.52
CHEMBL3833,271,413,8.44
CHEMBL2176813,82,124,7.44
CHEMBL2567,86,128,7.36
CHEMBL4523403,328,512,7.1
CHEMBL4523419,154,237,8.49
CHEMBL1667665,378,570,7.89
CHEMBL1741195,103,154,9.17
